0,7
1,8
2,14
3,17
4,1
5,14
6,9
7,8
8,16
9,3
10,2
11,15
12,10
13,18
14,8
15,17
16,15
17,3
18,7
19,18
20,7
21,5
22,2
23,6
24,5
25,10
26,0
27,7
28,5
29,20
30,18
31,4
32,18
33,8
34,15
35,10
36,6
37,10
38,1
39,18
40,1
41,11
42,8
43,9
44,0
45,11
46,14
47,16
48,3
49,5
50,12
51,18
52,1
53,20
54,0
55,15
56,19
57,13
58,0
59,11
60,15
61,10
62,15
63,6
64,13
65,3
66,18
67,19
68,16
69,9
70,2
71,7
72,17
73,0
74,20
75,0
76,8
77,1
78,2
79,10
80,0
81,5
82,15
83,16
84,6
85,6
86,19
87,9
88,19
89,5
90,17
91,1
92,14
93,16
94,4
95,6
96,20
97,13
98,7
99,17
100,8
