0,7
1,7
2,18
3,6
4,15
5,11
6,2
7,12
8,5
9,10
10,6
11,11
12,8
13,16
14,8
15,5
16,3
17,5
18,6
19,14
20,16
21,4
22,4
23,10
24,16
25,14
26,6
27,13
28,12
29,10
30,20
31,7
32,4
33,7
34,20
35,3
36,0
37,16
38,20
39,20
40,19
41,12
42,11
43,5
44,8
45,20
46,9
47,9
48,11
49,11
50,0
51,20
52,15
53,12
54,4
55,10
56,6
57,3
58,9
59,17
60,3
61,2
62,2
63,1
64,8
65,14
66,20
67,10
68,17
69,19
70,17
71,8
72,6
73,8
74,5
75,16
76,14
77,11
78,8
79,8
80,9
81,12
82,13
83,1
84,11
85,13
86,7
87,13
88,3
89,0
90,5
91,5
92,20
93,11
94,8
95,19
96,16
97,13
98,4
99,20
100,2
